Date,Rspm
7/12/2004,120.7
10/12/2004,80
12/13/2004,81.3
12/17/2004,134
12/20/2004,140.7
12/21/2004,128.7
12/27/2004,129.3
5/31/2004,87
7/6/2004,88.7
11/6/2004,112.7
6/14/2004,77.7
6/18/2004,90.7
6/21/2004,112.7
6/25/2004,107.7
2/7/2004,71.3
6/7/2004,71
7/20/2004,66.3
7/23/2004,103
7/26/2004,41.7
7/30/2004,85.3
2/8/2004,40
10/8/2004,83.3
12/8/2004,66.3
8/17/2004,66.7
8/20/2004,78.3
8/24/2004,54.3
8/26/2004,53.3
8/31/2004,77.3
3/9/2004,67.3
7/9/2004,73.7
9/9/2004,83.3
9/16/2004,73.7
9/21/2004,113.7
9/28/2004,60.7
9/29/2004,137.3
9/30/2004,103.3
5/10/2004,66.3
12/10/2004,100
10/19/2004,98.3
10/21/2004,72.7
10/26/2004,109.3
10/28/2004,96
10/29/2004,121
10/30/2004,
10/31/2004,
2/11/2004,
4/11/2004,
11/16/2004,
11/19/2004,
11/21/2004,
11/23/2004,
11/24/2004,
11/25/2004,
11/30/2004,149
2/12/2004,127.3
7/12/2004,146
9/12/2004,182
12/14/2004,146.3
12/16/2004,161
12/21/2004,198
12/23/2004,160.7
12/30/2004,164.3
5/31/2004,101
7/6/2004,100.7
8/6/2004,92.7
11/6/2004,77
6/14/2004,93.7
6/20/2004,110
6/24/2004,91.3
6/26/2004,98.7
6/7/2004,53.7
7/20/2004,58
7/23/2004,146
7/24/2004,35.3
7/27/2004,22.3
7/30/2004,64
2/8/2004,37.3
6/8/2004,60.7
10/8/2004,59
8/14/2004,72.7
8/17/2004,83.3
8/18/2004,97
8/24/2004,79.3
8/25/2004,105.3
8/31/2004,119
1/9/2004,58
8/9/2004,108.7
9/13/2004,82.7
9/14/2004,78.3
9/17/2004,96.3
9/21/2004,68.3
9/23/2004,62.7
9/28/2004,56.7
5/10/2004,75
7/10/2004,103
10/14/2004,104
10/19/2004,104.7
10/21/2004,76
10/26/2004,113.3
10/28/2004,101.7
10/29/2004,106.7
1/11/2004,99.3
2/11/2004,83.3
4/11/2004,137
11/16/2004,100
11/18/2004,87.3
11/19/2004,94.3
11/21/2004,79.7
11/23/2004,89
11/25/2004,131
11/26/2004,85.7
11/30/2004,109.3
2/12/2004,147
7/12/2004,122.7
9/12/2004,142
12/14/2004,96.3
12/16/2004,153.3
12/21/2004,149.7
12/23/2004,88
12/28/2004,114
12/29/2004,96.3
4/1/2010,107
7/1/2010,114
12/1/2010,43
1/18/2010,90
1/20/2010,72
1/24/2010,64
1/27/2010,61
1/29/2010,95
2/2/2010,124
5/2/2010,159
9/2/2010,107
11/2/2010,63
2/15/2010,72
2/17/2010,92
2/21/2010,90
2/24/2010,96
2/3/2010,69
5/3/2010,114
10/3/2010,78
3/14/2010,108
3/18/2010,82
3/22/2010,106
3/25/2010,77
3/29/2010,72
5/4/2010,99
7/4/2010,62
11/4/2010,80
4/15/2010,106
4/19/2010,77
4/23/2010,81
4/27/2010,93
4/29/2010,48
4/5/2010,70
6/5/2010,47
10/5/2010,78
12/5/2010,93
5/16/2010,87
5/18/2010,80
5/21/2010,97
5/25/2010,164
2/6/2010,123
6/6/2010,93
10/6/2010,121
6/15/2010,54
6/18/2010,64
6/22/2010,67
6/24/2010,43
6/28/2010,65
1/7/2010,79
5/7/2010,62
7/7/2010,42
11/7/2010,55
7/15/2010,57
7/20/2010,48
7/23/2010,53
7/27/2010,41
3/8/2010,40
6/8/2010,37
10/8/2010,45
12/8/2010,30
8/16/2010,59
8/19/2010,38
8/25/2010,31
8/29/2010,17
2/9/2010,45
6/9/2010,40
8/9/2010,41
12/9/2010,44
9/16/2010,30
9/20/2010,38
9/24/2010,28
9/28/2010,19
5/10/2010,43
7/10/2010,38
11/10/2010,35
10/14/2010,64
10/20/2010,23
10/24/2010,23
10/27/2010,32
10/29/2010,51
3/11/2010,26
9/11/2010,24
11/11/2010,34
11/15/2010,39
11/19/2010,24
11/23/2010,80
11/25/2010,41
11/28/2010,42
2/12/2010,49
7/12/2010,13
10/12/2010,22
12/14/2010,27
12/19/2010,42
12/22/2010,57
12/27/2010,52
12/29/2010,39
4/1/2010,113
7/1/2010,119
12/1/2010,29
1/18/2010,101
1/20/2010,75
1/24/2010,94
1/27/2010,90
1/29/2010,88
2/2/2010,136
5/2/2010,145
9/2/2010,133
11/2/2010,75
2/15/2010,71
2/17/2010,101
2/21/2010,90
2/24/2010,116
2/3/2010,72
5/3/2010,82
10/3/2010,71
3/14/2010,42
3/18/2010,89
3/22/2010,101
3/25/2010,84
3/29/2010,95
5/4/2010,78
7/4/2010,67
11/4/2010,69
4/15/2010,76
4/19/2010,68
4/23/2010,68
4/27/2010,55
4/29/2010,42
4/5/2010,64
6/5/2010,64
10/5/2010,103
12/5/2010,66
5/16/2010,112
5/18/2010,64
5/21/2010,79
5/25/2010,53
2/6/2010,77
6/6/2010,36
10/6/2010,45
6/15/2010,28
6/18/2010,53
6/22/2010,31
6/24/2010,29
6/28/2010,36
1/7/2010,49
5/7/2010,70
7/7/2010,62
11/7/2010,56
7/15/2010,55
7/20/2010,38
7/23/2010,20
7/27/2010,51
3/8/2010,31
6/8/2010,47
10/8/2010,59
12/8/2010,32
8/16/2010,39
8/19/2010,37
8/25/2010,30
8/29/2010,27
2/9/2010,50
8/9/2010,18
12/9/2010,38
