Date,Spm
9/17/2004,100
9/20/2004,122.3
9/23/2004,92.3
9/27/2004,124.7
1/10/2004,59
4/10/2004,54.7
8/10/2004,78
11/10/2004,80.3
10/15/2004,62.3
10/18/2004,126.7
10/23/2004,90.3
10/25/2004,74
10/29/2004,69.7
1/11/2004,82
5/11/2004,137.3
11/19/2004,129.3
11/20/2004,159.7
11/22/2004,137
11/23/2004,123.3
11/26/2004,184.3
11/27/2004,199.3
11/29/2004,129.3
6/12/2004,221
7/12/2004,245.3
10/12/2004,198
12/13/2004,161.7
12/17/2004,255.7
12/20/2004,270
12/21/2004,241.7
12/27/2004,287.7
5/31/2004,308
7/6/2004,275
11/6/2004,348.7
6/14/2004,339
6/18/2004,340
6/21/2004,423
6/25/2004,345.7
2/7/2004,270.3
6/7/2004,197.7
7/20/2004,237.7
7/23/2004,212.7
7/26/2004,206.3
7/30/2004,270.3
2/8/2004,142.7
10/8/2004,292.3
12/8/2004,166.3
8/17/2004,241.7
8/20/2004,215
8/24/2004,179.3
8/26/2004,176.7
8/31/2004,246
3/9/2004,218.3
7/9/2004,241.7
9/9/2004,238.3
9/16/2004,204.3
9/21/2004,198
9/28/2004,202.7
9/29/2004,275
9/30/2004,273
5/10/2004,198
12/10/2004,245
10/19/2004,320
10/21/2004,297.7
10/26/2004,376.7
10/28/2004,386.7
10/29/2004,274.7
10/30/2004,
10/31/2004,
2/11/2004,
4/11/2004,
11/16/2004,
11/19/2004,
11/21/2004,
11/23/2004,
11/24/2004,
11/25/2004,
11/30/2004,427.3
2/12/2004,358.7
7/12/2004,396
9/12/2004,410.3
12/14/2004,324
12/16/2004,565
12/21/2004,509.7
12/23/2004,462.3
12/30/2004,567
5/31/2004,365.3
7/6/2004,295.7
8/6/2004,280.7
11/6/2004,212.7
6/14/2004,319.3
6/20/2004,338
6/24/2004,236.3
6/26/2004,305.3
6/7/2004,179.3
7/20/2004,207.7
7/23/2004,279.7
7/24/2004,106
7/27/2004,91.7
7/30/2004,145
2/8/2004,91
6/8/2004,148
10/8/2004,215.3
8/14/2004,174
8/17/2004,195.3
8/18/2004,252.3
8/24/2004,226.3
8/25/2004,215
8/31/2004,298
1/9/2004,255.7
8/9/2004,263.3
9/13/2004,203
9/14/2004,221.3
9/17/2004,256.7
9/21/2004,165
9/23/2004,189
9/28/2004,211.3
5/10/2004,136.7
7/10/2004,190.7
10/14/2004,236
10/19/2004,316
10/21/2004,225.7
10/26/2004,364.3
10/28/2004,296
10/29/2004,270.7
1/11/2004,221.7
2/11/2004,257
4/11/2004,352.7
11/16/2004,305
11/18/2004,348.7
11/19/2004,388.3
11/21/2004,222.7
11/23/2004,293
11/25/2004,384.7
11/26/2004,347
11/30/2004,301
2/12/2004,378.7
7/12/2004,354.7
9/12/2004,396
12/14/2004,351
12/16/2004,470
12/21/2004,369.7
12/23/2004,346
12/28/2004,335.7
12/29/2004,309.3
4/1/2010,
7/1/2010,
12/1/2010,
1/18/2010,
1/20/2010,
1/24/2010,
1/27/2010,
1/29/2010,
2/2/2010,
5/2/2010,
9/2/2010,
11/2/2010,
2/15/2010,
2/17/2010,
2/21/2010,
2/24/2010,
2/3/2010,
5/3/2010,
10/3/2010,
3/14/2010,
3/18/2010,
3/22/2010,
3/25/2010,
3/29/2010,
5/4/2010,
7/4/2010,
11/4/2010,
4/15/2010,
4/19/2010,
4/23/2010,
4/27/2010,
4/29/2010,
4/5/2010,
6/5/2010,
10/5/2010,
12/5/2010,
5/16/2010,
5/18/2010,
5/21/2010,
5/25/2010,
2/6/2010,
6/6/2010,
10/6/2010,
6/15/2010,
6/18/2010,
6/22/2010,
6/24/2010,
6/28/2010,
1/7/2010,
5/7/2010,
7/7/2010,
11/7/2010,
7/15/2010,
7/20/2010,
7/23/2010,
7/27/2010,
3/8/2010,
6/8/2010,
10/8/2010,
12/8/2010,
8/16/2010,
8/19/2010,
8/25/2010,
8/29/2010,
2/9/2010,
6/9/2010,
8/9/2010,
12/9/2010,
9/16/2010,
9/20/2010,
9/24/2010,
9/28/2010,
5/10/2010,
7/10/2010,
11/10/2010,
10/14/2010,
10/20/2010,
10/24/2010,
10/27/2010,
10/29/2010,
3/11/2010,
9/11/2010,
11/11/2010,
11/15/2010,
11/19/2010,
11/23/2010,
11/25/2010,
11/28/2010,
2/12/2010,
7/12/2010,
10/12/2010,
12/14/2010,
12/19/2010,
12/22/2010,
12/27/2010,
12/29/2010,
4/1/2010,
7/1/2010,
12/1/2010,
1/18/2010,
1/20/2010,
1/24/2010,
1/27/2010,
1/29/2010,
2/2/2010,
5/2/2010,
9/2/2010,
11/2/2010,
2/15/2010,
2/17/2010,
2/21/2010,
2/24/2010,
2/3/2010,
5/3/2010,
10/3/2010,
3/14/2010,
3/18/2010,
3/22/2010,
3/25/2010,
3/29/2010,
5/4/2010,
7/4/2010,
11/4/2010,
4/15/2010,
4/19/2010,
4/23/2010,
4/27/2010,
4/29/2010,
4/5/2010,
6/5/2010,
10/5/2010,
12/5/2010,
5/16/2010,
5/18/2010,
5/21/2010,
5/25/2010,
2/6/2010,
6/6/2010,
10/6/2010,
6/15/2010,
6/18/2010,
6/22/2010,
6/24/2010,
6/28/2010,
1/7/2010,
5/7/2010,
7/7/2010,
11/7/2010,
7/15/2010,
7/20/2010,
7/23/2010,
7/27/2010,
3/8/2010,
6/8/2010,
10/8/2010,
12/8/2010,
8/16/2010,
8/19/2010,
8/25/2010,
8/29/2010,
2/9/2010,
8/9/2010,
12/9/2010,
9/16/2010,
9/20/2010,
9/24/2010,
9/28/2010,
5/10/2010,
7/10/2010,
11/10/2010,
10/14/2010,
10/20/2010,
10/24/2010,
10/27/2010,
10/29/2010,
3/11/2010,
9/11/2010,
11/11/2010,
11/15/2010,
11/19/2010,
11/23/2010,
11/25/2010,
11/28/2010,
2/12/2010,
7/12/2010,
10/12/2010,
12/14/2010,
12/19/2010,
12/22/2010,
12/27/2010,
12/29/2010,
3/1/2011,314
5/1/2011,344
11/1/2011,340
1/17/2011,346
1/21/2011,355
1/23/2011,323
1/27/2011,309
1/29/2011,320
1/31/2011,350
2/2/2011,365
5/2/2011,340
8/2/2011,386
11/2/2011,344
2/16/2011,332
2/18/2011,362
2/22/2011,273
2/26/2011,377
2/28/2011,360
4/3/2011,372
7/3/2011,371
9/3/2011,325
3/15/2011,346
3/17/2011,379
3/21/2011,320
3/25/2011,380
3/27/2011,375
3/29/2011,325
2/4/2011,363
5/4/2011,372
7/4/2011,317
10/4/2011,324
4/13/2011,330
4/18/2011,402
4/21/2011,299
4/25/2011,240
4/29/2011,298
2/5/2011,375
5/5/2011,371
7/5/2011,386
10/5/2011,369
5/15/2011,373
5/18/2011,393
5/20/2011,319
5/25/2011,288
5/29/2011,303
2/6/2011,289
5/6/2011,194
7/6/2011,307
10/6/2011,192
6/15/2011,187
6/18/2011,263
6/20/2011,262
6/25/2011,292
6/29/2011,241
2/7/2011,197
5/7/2011,167
7/7/2011,270
7/15/2011,160
7/18/2011,283
7/20/2011,204
7/23/2011,207
7/26/2011,233
7/29/2011,226
2/8/2011,122
4/8/2011,149
7/8/2011,110
10/8/2011,147
8/13/2011,224
8/18/2011,208
8/22/2011,219
8/24/2011,164
8/26/2011,150
3/9/2011,203
6/9/2011,131
9/9/2011,200
9/14/2011,166
9/18/2011,146
9/22/2011,171
9/24/2011,180
9/26/2011,212
9/30/2011,310
3/10/2011,258
5/10/2011,226
7/10/2011,226
9/10/2011,240
10/14/2011,216
10/19/2011,166
10/22/2011,235
10/26/2011,228
10/27/2011,222
10/31/2011,243
2/11/2011,234
4/11/2011,276
7/11/2011,270
10/11/2011,247
11/14/2011,288
11/18/2011,225
11/22/2011,288
11/26/2011,250
11/30/2011,311
2/12/2011,202
5/12/2011,445
8/12/2011,292
11/12/2011,183
12/16/2011,304
12/20/2011,419
12/22/2011,348
12/24/2011,313
12/28/2011,369
2/1/2011,114.3
8/1/2011,234.3
10/1/2011,247.7
1/14/2011,213.3
1/16/2011,125.7
1/20/2011,201.3
1/22/2011,416.3
1/26/2011,254.7
1/28/2011,258.7
2/2/2011,203.7
5/2/2011,251.3
8/2/2011,161
11/2/2011,192
2/16/2011,301.7
2/18/2011,287.3
2/25/2011,265.3
2/26/2011,209
2/28/2011,196.7
7/3/2011,209.7
9/3/2011,230.3
3/15/2011,199
3/17/2011,196
3/21/2011,167.7
3/24/2011,230.3
3/25/2011,208.3
3/27/2011,161
3/29/2011,344.7
2/4/2011,239
5/4/2011,267
7/4/2011,203
10/4/2011,228
4/13/2011,206
4/18/2011,210
4/21/2011,199
4/25/2011,139
4/29/2011,251
2/5/2011,302
5/5/2011,320
7/5/2011,345
10/5/2011,296
5/15/2011,280
5/18/2011,167
5/20/2011,308
5/25/2011,195
5/29/2011,261
2/6/2011,175
5/6/2011,147
7/6/2011,174
10/6/2011,146
6/15/2011,179
6/18/2011,287
6/20/2011,277
6/25/2011,217
6/29/2011,204
2/7/2011,126
7/7/2011,133
10/7/2011,140
7/15/2011,104
7/18/2011,118
7/20/2011,127
7/23/2011,136
7/25/2011,115
7/29/2011,88
2/8/2011,96
4/8/2011,109
7/8/2011,108
10/8/2011,67
8/13/2011,68
8/18/2011,153
8/22/2011,118
8/24/2011,187
8/26/2011,93
3/9/2011,137
6/9/2011,129
9/9/2011,129
9/14/2011,145
9/18/2011,139
9/22/2011,181
9/24/2011,190
9/26/2011,275
9/30/2011,218
3/10/2011,219
7/10/2011,187
9/10/2011,153
10/14/2011,135
10/19/2011,173
10/22/2011,186
10/26/2011,209
10/27/2011,148
10/31/2011,169
2/11/2011,116
4/11/2011,170
7/11/2011,206
10/11/2011,235
11/14/2011,186
11/18/2011,215
11/22/2011,197
11/26/2011,157
11/30/2011,180
2/12/2011,226
5/12/2011,239
8/12/2011,218
11/12/2011,158
12/16/2011,231
12/20/2011,236
12/22/2011,232
12/24/2011,289
12/28/2011,228
3/1/2011,278.3
5/1/2011,305.3
9/1/2011,307
11/1/2011,289
1/21/2011,353.3
1/23/2011,293.3
1/27/2011,348
1/29/2011,287
1/31/2011,343.3
2/2/2011,338
5/2/2011,325
8/2/2011,303.3
11/2/2011,300
2/16/2011,339
2/18/2011,324.7
2/25/2011,365
2/26/2011,296
2/28/2011,318
4/3/2011,258.3
7/3/2011,295.7
9/3/2011,367.3
3/15/2011,297.3
3/17/2011,278
3/21/2011,302.3
3/25/2011,270.7
3/27/2011,344.7
3/29/2011,336.3
2/4/2011,342
5/4/2011,293
7/4/2011,294
10/4/2011,314
4/13/2011,264
4/18/2011,308
4/25/2011,189
4/29/2011,298
2/5/2011,265
5/5/2011,
7/5/2011,342
10/5/2011,351
5/15/2011,353
5/18/2011,282
5/20/2011,338
5/25/2011,283
2/6/2011,263
5/6/2011,219
7/6/2011,291
10/6/2011,219
6/15/2011,228
6/18/2011,331
6/20/2011,276
6/25/2011,272
6/29/2011,328
2/7/2011,275
7/7/2011,274
10/7/2011,262
7/15/2011,265
7/18/2011,227
7/20/2011,214
7/23/2011,265
7/25/2011,264
7/29/2011,200
2/8/2011,260
4/8/2011,248
7/8/2011,241
10/8/2011,192
8/13/2011,255
8/18/2011,247
8/22/2011,224
8/24/2011,172
8/26/2011,196
3/9/2011,303
6/9/2011,272
9/9/2011,256
9/14/2011,216
9/18/2011,163
9/22/2011,181
9/24/2011,166
9/26/2011,193
9/30/2011,236
3/10/2011,215
5/10/2011,196
7/10/2011,195
9/10/2011,171
10/14/2011,171
10/14/2011,171
10/19/2011,162
10/19/2011,162
10/22/2011,193
10/22/2011,227
10/26/2011,211
10/26/2011,211
10/27/2011,169
10/27/2011,169
10/31/2011,201
10/31/2011,201
2/11/2011,140
4/11/2011,263
7/11/2011,254
10/11/2011,271
11/14/2011,248
11/18/2011,262
11/22/2011,203
11/26/2011,195
11/30/2011,210
2/12/2011,310
5/12/2011,231
8/12/2011,238
11/12/2011,287
12/16/2011,209
12/20/2011,282
12/22/2011,254
12/24/2011,252
12/28/2011,243
3/1/2011,
5/1/2011,
9/1/2011,
11/1/2011,
1/17/2011,
1/19/2011,
1/21/2011,
1/27/2011,
2/2/2011,
4/2/2011,
8/2/2011,
10/2/2011,
2/14/2011,
2/20/2011,
2/22/2011,
2/24/2011,
1/3/2011,
7/3/2011,
10/3/2011,
3/15/2011,
3/18/2011,
3/23/2011,
3/27/2011,
3/30/2011,
6/4/2011,
10/4/2011,
12/4/2011,
4/15/2011,
4/18/2011,
4/20/2011,
4/26/2011,
4/28/2011,
4/5/2011,
6/5/2011,
10/5/2011,
12/5/2011,
5/18/2011,
5/22/2011,
5/24/2011,
5/26/2011,
2/6/2011,
7/6/2011,
9/6/2011,
6/15/2011,
6/19/2011,
6/22/2011,
6/24/2011,
6/28/2011,
1/7/2011,
5/7/2011,
10/7/2011,
7/14/2011,
7/18/2011,
7/21/2011,
7/25/2011,
7/28/2011,
1/8/2011,
4/8/2011,
7/8/2011,
10/8/2011,
8/16/2011,
8/19/2011,
8/29/2011,
5/9/2011,
8/9/2011,
12/9/2011,
9/16/2011,
9/20/2011,
9/25/2011,
9/27/2011,
9/30/2011,
10/10/2011,
12/10/2011,
10/16/2011,
10/19/2011,
10/21/2011,
10/24/2011,
10/27/2011,
2/11/2011,
8/11/2011,
11/13/2011,
11/17/2011,
11/21/2011,
11/23/2011,
11/25/2011,
11/29/2011,
4/12/2011,
7/12/2011,
12/12/2011,
12/15/2011,
12/20/2011,
12/23/2011,
12/27/2011,
12/29/2011,
3/1/2011,
5/1/2011,
9/1/2011,
11/1/2011,
1/17/2011,
1/19/2011,
1/21/2011,
1/27/2011,
2/2/2011,
4/2/2011,
8/2/2011,
10/2/2011,
2/14/2011,
2/20/2011,
2/22/2011,
2/24/2011,
1/3/2011,
7/3/2011,
10/3/2011,
3/15/2011,
3/18/2011,
3/23/2011,
3/27/2011,
3/30/2011,
6/4/2011,
10/4/2011,
12/4/2011,
4/15/2011,
4/18/2011,
4/20/2011,
4/26/2011,
4/28/2011,
4/5/2011,
6/5/2011,
10/5/2011,
12/5/2011,
5/18/2011,
5/22/2011,
5/24/2011,
5/26/2011,
2/6/2011,
7/6/2011,
9/6/2011,
6/15/2011,
6/19/2011,
